code,region,name,exchange,type
ACCS,US,ACCESS Newswire Inc. Common Stock,AMEX,stock
ACU,US,Acme United Corporation. Common Stock,AMEX,stock
AEF,US,abrdn Emerging Markets ex-China Fund Inc. Common Stock,AMEX,stock
AEON,US,AEON Biopharma Inc. Class A Common Stock,AMEX,stock
AGIG,US,Abundia Global Impact Group Inc. Common stock,AMEX,stock
AIB,US,BlockchAIn Digital Infrastructure Inc Common Shares,AMEX,stock
AIM,US,AIM ImmunoTech Inc. Common Stock,AMEX,stock
AIRI,US,Air Industries Group Common Stock,AMEX,stock
AMBO,US,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),AMEX,stock
AMS,US,American Shared Hospital Services Common Stock,AMEX,stock
AMZE,US,Amaze Holdings Inc. Common Stock,AMEX,stock
APT,US,Alpha Pro Tech Ltd. Common Stock,AMEX,stock
AREN,US,The Arena Group Holdings Inc. Common Stock,AMEX,stock
ARMP,US,Armata Pharmaceuticals Inc. Common Stock,AMEX,stock
ASM,US,Avino Silver & Gold Mines Ltd. Common Shares (Canada),AMEX,stock
ATCH,US,AtlasClear Holdings Inc. Common Stock,AMEX,stock
ATNM,US,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,AMEX,stock
AUST,US,Austin Gold Corp. Common Shares,AMEX,stock
AWX,US,Avalon Holdings Corporation Common Stock,AMEX,stock
AXIL,US,AXIL Brands Inc. Common Stock,AMEX,stock
AZTR,US,Azitra Inc Common Stock,AMEX,stock
BATL,US,Battalion Oil Corporation Common Stock,AMEX,stock
BCHT,US,Birchtech Corp. Common Stock,AMEX,stock
BCV,US,Bancroft Fund Ltd.,AMEX,stock
BCV^A,US,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,AMEX,stock
BDL,US,Flanigan's Enterprises Inc. Common Stock,AMEX,stock
BESS,US,Bimergen Energy Corporation Common Stock,AMEX,stock
BGI,US,Birks Group Inc. Common Stock,AMEX,stock
BHB,US,Bar Harbor Bankshares Inc. Common Stock,AMEX,stock
BHM,US,Bluerock Homes Trust Inc. Class A Common Stock,AMEX,stock
BKTI,US,BK Technologies Corporation Common Stock,AMEX,stock
BQ,US,Boqii Holding Limited Class A Ordinary Shares,AMEX,stock
BRBS,US,Blue Ridge Bankshares Inc. Common Stock,AMEX,stock
BRIA,US,BrilliA Inc Class A Ordinary Shares,AMEX,stock
BRN,US,Barnwell Industries Inc. Common Stock,AMEX,stock
