code,region,name,exchange,type
920000,BJ,安徽凤凰,BSE,stock
920001,BJ,纬达光电,BSE,stock
920002,BJ,万达轴承,BSE,stock
920003,BJ,中诚咨询,BSE,stock
920005,BJ,鼎佳精密,BSE,stock
920006,BJ,晟楠科技,BSE,stock
920007,BJ,酉立智能,BSE,stock
920008,BJ,成电光信,BSE,stock
920009,BJ,丹娜生物,BSE,stock
920010,BJ,凯添燃气,BSE,stock
920014,BJ,特瑞斯,BSE,stock
920015,BJ,锦华新材,BSE,stock
920016,BJ,中草香料,BSE,stock
920017,BJ,星昊医药,BSE,stock
920018,BJ,宏远股份,BSE,stock
920019,BJ,铜冠矿建,BSE,stock
920020,BJ,泰凯英,BSE,stock
920021,BJ,流金科技,BSE,stock
920022,BJ,世昌股份,BSE,stock
920023,BJ,田野股份,BSE,stock
920026,BJ,卓兆点胶,BSE,stock
920027,BJ,交大铁发,BSE,stock
920028,BJ,新恒泰,BSE,stock
920029,BJ,开发科技,BSE,stock
920030,BJ,德众汽车,BSE,stock
920033,BJ,康普化学,BSE,stock
920035,BJ,精创电气,BSE,stock
920036,BJ,觅睿科技,BSE,stock
920037,BJ,广信科技,BSE,stock
920039,BJ,国义招标,BSE,stock
920045,BJ,蘅东光,BSE,stock
920046,BJ,亿能电力,BSE,stock
920047,BJ,诺思兰德,BSE,stock
920050,BJ,爱舍伦,BSE,stock
920056,BJ,能之光,BSE,stock
920057,BJ,百甲科技,BSE,stock
920058,BJ,华洋赛车,BSE,stock
920060,BJ,万源通,BSE,stock
920061,BJ,西磁科技,BSE,stock
920062,BJ,科润智控,BSE,stock
920066,BJ,科拜尔,BSE,stock
920068,BJ,天工股份,BSE,stock
920069,BJ,普昂医疗,BSE,stock
920075,BJ,柏星龙,BSE,stock
920076,BJ,国亮新材,BSE,stock
920077,BJ,吉林碳谷,BSE,stock
920078,BJ,族兴新材,BSE,stock
920080,BJ,奥美森,BSE,stock
920082,BJ,方正阀门,BSE,stock
920086,BJ,科马材料,BSE,stock
920087,BJ,秋乐种业,BSE,stock
920088,BJ,科力股份,BSE,stock
920089,BJ,禾昌聚合,BSE,stock
920090,BJ,同辉信息,BSE,stock
920091,BJ,大鹏工业,BSE,stock
920092,BJ,汉鑫科技,BSE,stock
