code,region,name,exchange,type
00001,HK,CKH HOLDINGS,HKEX,stock
00002,HK,CLP HOLDINGS,HKEX,stock
00003,HK,HK & CHINA GAS,HKEX,stock
00004,HK,WHARF HOLDINGS,HKEX,stock
00005,HK,HSBC HOLDINGS,HKEX,stock
00006,HK,POWER ASSETS,HKEX,stock
00007,HK,WISDOM WEALTH,HKEX,stock
00008,HK,PCCW,HKEX,stock
00010,HK,HANG LUNG GROUP,HKEX,stock
00012,HK,HENDERSON LAND,HKEX,stock
00013,HK,HUTCHMED,HKEX,stock
00014,HK,HYSAN DEV,HKEX,stock
00016,HK,SHK PPT,HKEX,stock
00017,HK,NEW WORLD DEV,HKEX,stock
00018,HK,ORIENTAL M G,HKEX,stock
00019,HK,SWIRE PACIFIC A,HKEX,stock
00020,HK,SENSETIME-W,HKEX,stock
00021,HK,GREAT CHI HLDGS,HKEX,stock
00022,HK,MEXAN,HKEX,stock
00023,HK,BANK OF E ASIA,HKEX,stock
00025,HK,CHEVALIER INT'L,HKEX,stock
00026,HK,CHINA MOTOR BUS,HKEX,stock
00027,HK,GALAXY ENT,HKEX,stock
00028,HK,TIAN AN,HKEX,stock
00029,HK,DYNAMIC HOLD,HKEX,stock
00030,HK,YNBY INTL,HKEX,stock
00031,HK,CHINA AEROSPACE,HKEX,stock
00032,HK,CROSS-HAR(HOLD),HKEX,stock
00033,HK,INTL GENIUS,HKEX,stock
00034,HK,KOWLOON DEV,HKEX,stock
00035,HK,FE CONSORT INTL,HKEX,stock
00036,HK,FE HLDGS INTL,HKEX,stock
00037,HK,FE HOTELS,HKEX,stock
00038,HK,FIRST TRACTOR,HKEX,stock
00039,HK,CH BEIDAHUANG,HKEX,stock
00040,HK,GOLD PEAK,HKEX,stock
00041,HK,GREAT EAGLE H,HKEX,stock
00042,HK,NE ELECTRIC,HKEX,stock
00045,HK,HK&S HOTELS,HKEX,stock
00046,HK,COMPUTER & TECH,HKEX,stock
00048,HK,C AUTO INT DECO,HKEX,stock
00050,HK,HK FERRY (HOLD),HKEX,stock
00051,HK,HARBOUR CENTRE,HKEX,stock
00052,HK,FAIRWOOD HOLD,HKEX,stock
00053,HK,GUOCO GROUP,HKEX,stock
00055,HK,NEWAY GROUP,HKEX,stock
00057,HK,CHEN HSONG HOLD,HKEX,stock
