code,region,name,exchange,type
A,US,Agilent Technologies Inc. Common Stock,NYSE,stock
AA,US,Alcoa Corporation Common Stock,NYSE,stock
AAMI,US,Acadian Asset Management Inc. Common Stock,NYSE,stock
AAP,US,Advance Auto Parts Inc.,NYSE,stock
AAT,US,American Assets Trust Inc. Common Stock,NYSE,stock
AAUC,US,Allied Gold Corporation Common Shares,NYSE,stock
AB,US,AllianceBernstein Holding L.P.  Units,NYSE,stock
ABBV,US,AbbVie Inc. Common Stock,NYSE,stock
ABCB,US,Ameris Bancorp Common Stock,NYSE,stock
ABEV,US,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,stock
ABG,US,Asbury Automotive Group Inc Common Stock,NYSE,stock
ABM,US,ABM Industries Incorporated Common Stock,NYSE,stock
ABR,US,Arbor Realty Trust Common Stock,NYSE,stock
ABR^D,US,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,NYSE,stock
ABR^E,US,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE,stock
ABR^F,US,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,NYSE,stock
ABT,US,Abbott Laboratories Common Stock,NYSE,stock
ABX,US,Abacus Global Management Inc. Class A Common Stock,NYSE,stock
ABXL,US,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,NYSE,stock
ACA,US,Arcosa Inc. Common Stock,NYSE,stock
ACCO,US,Acco Brands Corporation Common Stock,NYSE,stock
ACEL,US,Accel Entertainment Inc.,NYSE,stock
ACH,US,Accendra Health Inc. Common Stock,NYSE,stock
ACHR,US,Archer Aviation Inc. Class A Common Stock,NYSE,stock
ACI,US,Albertsons Companies Inc. Class A Common Stock,NYSE,stock
ACM,US,AECOM Common Stock,NYSE,stock
ACN,US,Accenture plc Class A Ordinary Shares (Ireland),NYSE,stock
ACP,US,abrdn Income Credit Strategies Fund Common Shares,NYSE,stock
ACP^A,US,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE,stock
ACR,US,ACRES Commercial Realty Corp. Common Stock,NYSE,stock
ACR^C,US,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,NYSE,stock
ACR^D,US,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE,stock
ACRE,US,Ares Commercial Real Estate Corporation Common Stock,NYSE,stock
ACV,US,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,stock
ACVA,US,ACV Auctions Inc. Class A Common Stock,NYSE,stock
AD,US,Array Digital Infrastructure Inc. Common Shares,NYSE,stock
ADC,US,Agree Realty Corporation Common Stock,NYSE,stock
ADC^A,US,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,NYSE,stock
ADCT,US,ADC Therapeutics SA Common Shares,NYSE,stock
ADM,US,Archer-Daniels-Midland Company Common Stock,NYSE,stock
ADNT,US,Adient plc Ordinary Shares,NYSE,stock
ADT,US,ADT Inc. Common Stock,NYSE,stock
ADX,US,Adams Diversified Equity Fund Inc.,NYSE,stock
AEE,US,Ameren Corporation Common Stock,NYSE,stock
AEFC,US,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,stock
AEG,US,Aegon Ltd. New York Registry Shares,NYSE,stock
AEM,US,Agnico Eagle Mines Limited Common Stock,NYSE,stock
AEO,US,American Eagle Outfitters Inc. Common Stock,NYSE,stock
AER,US,AerCap Holdings N.V. Ordinary Shares,NYSE,stock
AERO,US,Grupo Aeromexico S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares),NYSE,stock
AES,US,The AES Corporation Common Stock,NYSE,stock
AESI,US,Atlas Energy Solutions Inc. Common Stock,NYSE,stock
AEXA,US,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,NYSE,stock
AFB,US,AllianceBernstein National Municipal Income Fund Inc,NYSE,stock
AFG,US,American Financial Group Inc. Common Stock,NYSE,stock
AFGB,US,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,NYSE,stock
AFGC,US,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,NYSE,stock
AFGD,US,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,NYSE,stock
AFGE,US,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,NYSE,stock
AFL,US,AFLAC Incorporated Common Stock,NYSE,stock
AG,US,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE,stock
AGBK,US,AGI Inc Class A Common Shares,NYSE,stock
AGCO,US,AGCO Corporation Common Stock,NYSE,stock
