code,region,name,exchange,type
000001,SZ,平安银行,SZSE,stock
000002,SZ,万科Ａ,SZSE,stock
000004,SZ,*ST国华,SZSE,stock
000006,SZ,深振业Ａ,SZSE,stock
000007,SZ,全新好,SZSE,stock
000008,SZ,神州高铁,SZSE,stock
000009,SZ,中国宝安,SZSE,stock
000010,SZ,美丽生态,SZSE,stock
000011,SZ,深物业A,SZSE,stock
000012,SZ,南玻Ａ,SZSE,stock
000014,SZ,沙河股份,SZSE,stock
000016,SZ,深康佳Ａ,SZSE,stock
000017,SZ,深中华A,SZSE,stock
000019,SZ,深粮控股,SZSE,stock
000020,SZ,深华发Ａ,SZSE,stock
000021,SZ,深科技,SZSE,stock
000025,SZ,特力Ａ,SZSE,stock
000026,SZ,飞亚达,SZSE,stock
000027,SZ,深圳能源,SZSE,stock
000028,SZ,国药一致,SZSE,stock
000029,SZ,深深房Ａ,SZSE,stock
000030,SZ,富奥股份,SZSE,stock
000031,SZ,大悦城,SZSE,stock
000032,SZ,深桑达Ａ,SZSE,stock
000034,SZ,神州数码,SZSE,stock
000035,SZ,中国天楹,SZSE,stock
000036,SZ,华联控股,SZSE,stock
000037,SZ,深南电A,SZSE,stock
000039,SZ,中集集团,SZSE,stock
000042,SZ,中洲控股,SZSE,stock
000045,SZ,深纺织Ａ,SZSE,stock
000048,SZ,京基智农,SZSE,stock
000049,SZ,德赛电池,SZSE,stock
000050,SZ,深天马Ａ,SZSE,stock
000055,SZ,方大集团,SZSE,stock
000056,SZ,皇庭国际,SZSE,stock
000058,SZ,深赛格,SZSE,stock
000059,SZ,华锦股份,SZSE,stock
000060,SZ,中金岭南,SZSE,stock
000061,SZ,农产品,SZSE,stock
000062,SZ,深圳华强,SZSE,stock
000063,SZ,中兴通讯,SZSE,stock
000065,SZ,北方国际,SZSE,stock
000066,SZ,中国长城,SZSE,stock
000068,SZ,华控赛格,SZSE,stock
000069,SZ,华侨城Ａ,SZSE,stock
000070,SZ,特发信息,SZSE,stock
000078,SZ,海王生物,SZSE,stock
000088,SZ,盐田港,SZSE,stock
000089,SZ,深圳机场,SZSE,stock
000090,SZ,天健集团,SZSE,stock
000096,SZ,广聚能源,SZSE,stock
000099,SZ,中信海直,SZSE,stock
000100,SZ,TCL科技,SZSE,stock
000151,SZ,中成股份,SZSE,stock
000153,SZ,丰原药业,SZSE,stock
000155,SZ,川能动力,SZSE,stock
000156,SZ,华数传媒,SZSE,stock
000157,SZ,中联重科,SZSE,stock
000158,SZ,常山北明,SZSE,stock
000159,SZ,国际实业,SZSE,stock
000166,SZ,申万宏源,SZSE,stock
000301,SZ,东方盛虹,SZSE,stock
000333,SZ,美的集团,SZSE,stock
000338,SZ,潍柴动力,SZSE,stock
000400,SZ,许继电气,SZSE,stock
000401,SZ,金隅冀东,SZSE,stock
000402,SZ,金融街,SZSE,stock
000403,SZ,派林生物,SZSE,stock
000404,SZ,长虹华意,SZSE,stock
000407,SZ,胜利股份,SZSE,stock
000408,SZ,藏格矿业,SZSE,stock
000409,SZ,云鼎科技,SZSE,stock
000410,SZ,沈阳机床,SZSE,stock
000411,SZ,英特集团,SZSE,stock
000415,SZ,渤海租赁,SZSE,stock
000417,SZ,合百集团,SZSE,stock
000419,SZ,通程控股,SZSE,stock
000420,SZ,吉林化纤,SZSE,stock
000421,SZ,南京公用,SZSE,stock
000422,SZ,湖北宜化,SZSE,stock
000423,SZ,东阿阿胶,SZSE,stock
000425,SZ,徐工机械,SZSE,stock
000426,SZ,兴业银锡,SZSE,stock
000428,SZ,华天酒店,SZSE,stock
000429,SZ,粤高速Ａ,SZSE,stock
000430,SZ,ST张家界,SZSE,stock
000488,SZ,ST晨鸣,SZSE,stock
000498,SZ,山东路桥,SZSE,stock
000501,SZ,武商集团,SZSE,stock
000503,SZ,国新健康,SZSE,stock
000504,SZ,*ST生物,SZSE,stock
000505,SZ,京粮控股,SZSE,stock
000506,SZ,招金黄金,SZSE,stock
000507,SZ,珠海港,SZSE,stock
000509,SZ,华塑控股,SZSE,stock
000510,SZ,新金路,SZSE,stock
000513,SZ,丽珠集团,SZSE,stock
000514,SZ,渝开发,SZSE,stock
000516,SZ,国际医学,SZSE,stock
000517,SZ,荣安地产,SZSE,stock
000518,SZ,*ST四环,SZSE,stock
000519,SZ,中兵红箭,SZSE,stock
000520,SZ,凤凰航运,SZSE,stock
000521,SZ,长虹美菱,SZSE,stock
000523,SZ,红棉股份,SZSE,stock
000524,SZ,岭南控股,SZSE,stock
000525,SZ,红太阳,SZSE,stock
000526,SZ,学大教育,SZSE,stock
000528,SZ,柳工,SZSE,stock
